icd,kw
D21.1,u lành mô liên kết và mô mềm khác của chi trên bao gồm vai
D23.0,u lành da của môi
D23.1,u lành da của mi mắt kể cả góc mắt
D28.2,u lành vòi tử cung và dây chằng
D28.7,u lành cơ quan sinh dục nữ xác định khác
D28.9,"u lành cơ quan sinh dục nữ , không đặc hiệu"
D29,u lành của cơ quan sinh dục nam
D30.0,u lành của thận
D30.1,u lành của bể thận
D29.0,u lành của dương vật
D29.1,u lành của tuyến tiền liệt
D29.9,"u lành của cơ quan sinh dục nam , không đặc hiệu"
D30,u lành của cơ quan tiết niệu
D30.2,u lành của niệu quản
D30.3,u lành của bàng quang
D29.2,u lành của tinh hoàn
D29.3,u lành của mào tinh hoàn
D30.4,u lành của niệu đạo
D30.7,u lành của cơ quan tiết niệu khác
D30.9,u lành của cơ quan tiết niệu không đặc hiệu
D14,u lành tai giữa và hệ hô hấp
D16.3,u lành của xương ngắn của chi dưới
D14.0,"u lành của tai giữa , khoang mũi và các xoang phụ"
D16.8,"u lành của xương chậu , xương thiêng và xương cụt"
D16.2,u lành của xương dài của chi dưới
D16.1,u lành của xương ngắn của chi trên
D16.7,"u lành của xương sườn , xương ức và xương đòn"
D16.9,u lành của xương và sụn khớp không đặc hiệu
D17,u mỡ
D17.0,"u mỡ lành tính của da và mô dưới da ở đầu , mặt và cổ"
D16.4,u lành tính xương sọ và xương mặt
D16.5,u lành của xương hàm dưới
D16.6,u lành tính của cột sống
D21.4,u lành mô liên kết và mô mềm khác của bụng
D21.5,u lành mô liên kết và mô mềm khác của vùng chậu
D21.2,"u lành mô liên kết và mô mềm khác của chi dưới , bao gồm hông"
D37.9,u tân sinh chưa rõ tính chất của cơ quan tiêu hóa không đặc hiệu
D38,"u tân sinh không rõ hoặc không biết tính chất của tai giữa , cơ quan hô hấp và cơ quan trong lồng ngực"
D38.0,u tân sinh chưa rõ tính chất của thanh quản
D38.1,"u tân sinh chưa rõ tính chất của khí quản , phế quản và phổi"
D39.1,u tân sinh không chắc chắn hoặc không biết tính chất của buồng trứng
D39.2,u tân sinh không chắc chắn hoặc không biết tính chất của nhau ( rau ) thai
D38.6,u tân sinh chưa rõ tính chất của cơ quan hô hấp không đặc hiệu
D39,u không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ
D39.0,u tân sinh không chắc chắn hoặc không biết tính chất của tử cung
D38.2,u tân sinh chưa rõ tính chất màng phổi
D38.3,u tân sinh chưa rõ tính chất của trung thất
D38.4,u tân sinh chưa rõ tính chất của tuyến ức
D38.5,u tân sinh chưa rõ tính chất của cơ quan hô hấp khác
D39.7,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ khác
D39.9,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ không đặc hiệu
D40,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nam
D40.0,u tân sinh không chắc chắn hoặc không biết tính chất của tiền liệt tuyến
D40.1,u tân sinh không chắc chắn hoặc không biết tính chất của tinh hoàn
D40.7,u tân sinh không chắc chắn hoặc không biết tính chất của các cơ quan sinh dục nam khác
D40.9,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nam không đặc hiệu
D23.2,u lành da tai và ống tai ngoài
D23.4,u lành da đầu và cổ
D23.3,u lành ở da các phần khác và không xác định của mặt
D24,u lành vú
D25,u cơ trơn tử cung
D23.5,u lành da thân mình
D23.6,"u lành da chi trên , bao gồm vai"
D26.9,"u lành tử cung , không đặc hiệu"
D27,u lành buồng trứng
D28,u lành của cơ quan sinh dục khác và không xác định
D25.9,"u cơ trơn tử cung , không đặc hiệu"
D26,u lành khác của tử cung
D26.0,u lành cổ tử cung
D23.7,u lành da chi dưới bao gồm hông
D23.9,"u lành của da , không đặc hiệu"
D25.0,u cơ trơn dưới niêm mạc tử cung
D25.1,u cơ trơn trong vách tử cung
D25.2,u cơ trơn dưới thanh mạc tử cung
D26.1,u lành thân tử cung
D26.7,u lành phần khác của tử cung
D33.4,u lành của tủy sống
D33.7,u lành của phần xác định khác của hệ thần kinh trung ương
D33.9,"u lành của hệ thần kinh trung ương , không đặc hiệu"
D34,u lành của tuyến giáp
D35.6,u lành thể động mạch chủ và thể cận hạch khác
D35.7,u lành tuyến nội tiết xác định khác
D35.8,u lành liên quan nhiều tuyến nội tiết
D35.9,"u lành của tuyến nội tiết , không đặc hiệu"
D36,u lành ở vị trí khác và không xác định
D35.3,u lành ống sọ hầu
D35.4,u lành tuyến tùng
D35.5,u lành thể cảnh
D35,u lành của tuyến nội tiết khác và không xác định
D35.0,u lành tuyến thượng thận
D35.1,u lành tuyến cận giáp
D35.2,u lành tuyến yên
D36.7,u lành vị trí xác định khác
D36.9,u lành của vị trí không xác định
D37,u tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hóa
D37.0,"u tân sinh chưa rõ tính chất của môi , xoang miệng và hầu"
D37.1,u tân sinh chưa rõ tính chất của dạ dày
D37.2,u tân sinh chưa rõ tính chất của ruột non
D37.3,u tân sinh chưa rõ tính chất của ruột thừa
D37.4,u tân sinh chưa rõ tính chất của đại tràng
D36.0,u lành hạch lympho
D36.1,u lành thần kinh ngoại vi và thần kinh tự chủ
D31,u lành của mắt và phần phụ
D31.3,u lành màng mạch mắt
D31.4,u lành thể mi
D33.0,u lành của bán cầu đại não trên lều
D33.1,"u lành của não , dưới lều"
D32.0,u lành của màng não tại não
D32.1,u lành của màng não tủy sống
D31.0,u lành kết mạc
D31.1,u lành giác mạc
D31.2,u lành võng mạc
D33.2,"u lành của não , không đặc hiệu"
D33.3,u lành thần kinh sọ não
D28.0,u lành âm hộ
D28.1,u lành âm đạo
D31.5,u lành tuyến và ống lệ
D31.6,u lành hốc mắt không đặc hiệu
D31.9,"u lành của mắt , không đặc hiệu"
D32,u lành của màng não
D32.9,"u lành màng não , không đặc hiệu"
D33,u lành của não và các phần khác của hệ thần kinh trung ương
D29.4,u lành của bìu
D29.7,u lành của cơ quan sinh dục nam khác
D21.6,"u lành mô liên kết và mô mềm khác của thân mình , không đặc hiệu"
D21.9,"u lành mô liên kết và mô mềm khác , không đặc hiệu"
D22,nốt ruồi
D22.0,nốt ruồi của môi
D22.1,nốt ruồi của khóe mắt bao gồm mi mắt
D22.2,nốt ruồi của tai và ống tai ngoài
D18.0,"u máu , vị trí bất kỳ"
D18.1,"u bạch huyết , vị trí bất kỳ"
D19,u lành của trung mô
D17.1,u mỡ lành tính của da và mô dưới da ở thân hình
D19.0,u lành trung mô của màng phổi
D19.1,u lành trung mô của phúc mạc
D19.7,u lành trung mô của các vị trí khác
D19.9,u lành trung mô không xác định
D20,u lành mô mềm sau phúc mạc và phúc mạc
D17.9,u mỡ lành tính không đặc hiệu
D18,"u máu và u bạch huyết , vị trí bất kỳ"
D22.7,nốt ruồi của chi dưới bao gồm hông
D22.9,nốt ruồi không có gì đặc hiệu
D23,u lành khác của da
D17.4,u mỡ lành tính của cơ quan trong lồng ngực
D17.5,u mỡ lành tính của cơ quan trong ổ bụng
D22.3,nốt ruồi của phần khác và phần không xác định của mặt
D22.4,nốt ruồi của da đầu và cổ
D22.5,nốt ruồi của thân mình
D22.6,nốt ruồi của chi trên bao gồm vai
D17.6,u mỡ lành tính của thừng tinh
D17.7,u mỡ lành tính của vị trí khác
D20.0,u lành mô mềm sau phúc mạc
D20.1,u lành mô mềm phúc mạc
D21,u lành khác của mô liên kết và mô mềm khác
D44,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến nội tiết
D44.0,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến giáp
D44.1,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến thượng thận
D44.2,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến cận giáp
D44.3,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến yên
D51,thiếu máu do thiếu vitamin b12
D51.0,thiếu máu thiếu vitamin b12 do thiếu yếu tố nội sinh
D51.1,thiếu vitamin b12 do giảm hấp thu chọn lọc vitamin b12 kèm theo protein niệu
D51.2,thiếu transcobalamin ii
D51.3,thiếu máu thiếu vitamin b12 do chế độ ăn khác
D51.8,thiếu máu thiếu vitamin b12 khác
D51.9,"thiếu máu thiếu vitamin b12 , không đặc hiệu"
D52,thiếu máu thiếu folate
D47.0,u tổ chức bào và dưỡng bào không triệu chứng
D47.1,bệnh bạch cầu tăng sinh tủy mạn tính
D47.2,bệnh lý gamma đơn dòng thể không xác định triệu chứng ( mgmus )
D47.3,bệnh tăng tiểu cầu ( xuất huyết ) vô căn
D52.9,thiếu máu thiếu folate không đặc hiệu
D53,các thiếu máu dinh dưỡng khác
D53.0,thiếu máu do thiếu protein
D53.1,"các thiếu máu nguyên hồng cầu khổng lồ khác , không phân loại nơi khác"
D47.4,bệnh xơ hóa tủy xương
D47.5,bệnh bạch cầu dòng tế bào ưa acid mạn tính ( hội chứng tăng bạch cầu ưa acid )
D47.7,"u tân sinh xác định khác , không rõ hoặc không biết tính chất của mô lympho , mô tạo huyết và mô liên quan"
D47.9,"u tân sinh không đặc hiệu , không chắc chắn hoặc không rõ tính chất của mô lympho , mô tạo huyết và mô liên quan"
D48,u tân sinh không chắc chắn hoặc không biết tính chất có vị trí khác và không xác định
D50,thiếu máu do thiếu sắt
D50.0,thiếu máu thiếu sắt thứ phát do mất máu ( mạn tính )
D50.1,chứng khó nuốt do thiếu sắt
D50.8,thiếu máu thiếu sắt khác
D50.9,thiếu máu thiếu sắt không đặc hiệu
D53.2,thiếu máu thiếu vitamin c
D53.8,các thiếu máu dinh dưỡng đặc hiệu khác
D53.9,thiếu máu dinh dưỡng không đặc hiệu
D55,thiếu máu do rối loạn men
D48.0,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của xương và sụn khớp"
D48.1,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của mô liên kết và mô mềm khác"
D48.2,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của thần kinh ngoại vi và thần kinh tự chủ"
D48.3,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của vùng sau phúc mạc"
D48.4,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của phúc mạc"
D48.5,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của da"
D48.6,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của vú"
D48.7,"u tân sinh không xác định , không chắc chắn hoặc không rõ tính chất của vị trí xác định khác"
D48.9,"u tân sinh không chắc chắn hoặc không biết tính chất , không đặc hiệu"
D52.0,thiếu máu thiếu folate do chế độ ăn
D52.1,thiếu máu thiếu folate do thuốc
D52.8,thiếu máu thiếu folate khác
D46.0,"thiếu máu dai dẳng không có nguyên hồng cầu sắt vòng , được xác định"
D46.1,hội chứng rối loạn sinh tủy có nguyên hồng cầu sắt vòng
D46.2,thiếu máu dai dẳng có tăng nguyên bào ác tính ( raeb )
D46.4,"thiếu máu dai dẳng , không đặc hiệu"
D46.5,thiếu máu dai dẳng có loạn sản đa dòng tế bào ( mds - mld )
D41.9,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan tiết niệu không đặc hiệu
D42,u tân sinh không chắc chắn hoặc không biết tính chất của màng não
D42.0,u tân sinh không chắc chắn hoặc không biết tính chất của màng não thuộc não
D42.1,u tân sinh không chắc chắn hoặc không biết tính chất của màng não thuộc tủy sống
D41,u tân sinh không chắc chắn hoặc không biết tính chất của cơ quan tiết niệu
D41.0,u tân sinh không chắc chắn hoặc không biết tính chất của thận
D41.1,u tân sinh không chắc chắn hoặc không biết tính chất của bể thận
D42.9,"u tân sinh không chắc chắn hoặc không biết tính chất của màng não , không đặc hiệu"
D43,u tân sinh không chắc chắn hoặc không biết tính chất của não và hệ thần kinh trung ương
D43.0,"u tân sinh không chắc chắn hoặc không biết tính chất của não , trên lều não"
D43.1,"u tân sinh không chắc chắn hoặc không biết tính chất của não , dưới lều não"
D44.4,u tân sinh không chắc chắn hoặc không biết tính chất của ống sọ - hầu
D44.5,u tân sinh không chắc chắn hoặc không biết tính chất của tuyến tùng
D44.6,u tân sinh không chắc chắn hoặc không biết tính chất của thể cảnh
D41.2,u tân sinh không chắc chắn hoặc không biết tính chất của niệu quản
D41.3,u tân sinh không chắc chắn hoặc không biết tính chất của niệu đạo
